Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Manuel Zeitz,de GER,DF,Saarbrücken,32,1990,36,36,"3,165",35.2,3,0,3,3,0,0,9,0,0.09,0.00,0.09,0.09,0.09
Eroll Zejnullahu,xk KVX,MF,1860 Munich,28,1994,21,14,"1,225",13.6,1,3,4,1,0,0,2,0,0.07,0.22,0.29,0.07,0.29
Erik Zenga,de GER,MF,MSV Duisburg,30,1993,10,3,410,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Viktor Zentrich,cz CZE,DF,Unterhaching,20,2003,12,1,236,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Robin Ziegele,de GER,DF,Jahn R'burg,26,1997,24,13,"1,349",15.0,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07
Sebastian Zieleniecki,pl POL,"DF,MF",Hallescher,28,1995,11,7,717,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Tom Zimmerschied,de GER,"FW,MF",Dresden,24,1998,37,34,"2,604",28.9,6,7,13,6,0,0,9,0,0.21,0.24,0.45,0.21,0.45
Malwin Zok,de GER,GK,SV Waldhof,20,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joël Zwarts,nl NED,"FW,MF",1860 Munich,24,1999,21,14,"1,263",14.0,6,0,6,6,0,0,0,0,0.43,0.00,0.43,0.43,0.43
